model_name,rule,no_step,learning_rate,training_time,nr_of_reinit,loss_on_train,loss_on_test
FCNPointProcess,Euler,10,0.001,14775,3,3.680620757437645e+16,649804032.0
FCNPointProcess,Implicit Euler,10,0.001,4256,6,-26368.181640625,
FCNPointProcess,Trapezoid,10,0.001,18915,2,6777.3486328125,3046.130615234375
FCNPointProcess,Simpsons,10,0.001,16558,1,6895.6845703125,3290.45068359375
FCNPointProcess,Gaussian_Q,10,0.001,17688,2,-4004.32861328125,inf
PoissonTPP,Euler,10,0.001,4012,1,6872.46875,3088.077880859375
PoissonTPP,Implicit Euler,10,0.001,1624,1,-1944.7857666015625,28773.189453125
PoissonTPP,Trapezoid,10,0.001,5439,1,6872.4873046875,3087.803466796875
PoissonTPP,Simpsons,10,0.001,4446,1,6872.44921875,3087.789306640625
PoissonTPP,Gaussian_Q,10,0.001,6218,1,6872.4560546875,3087.778564453125
PoissonPolynomialTPP,Euler,10,0.001,8254,1,1783491328.0,163271248.0
PoissonPolynomialTPP,Implicit Euler,10,0.001,2456,1,-1998.906005859375,331823218688.0
PoissonPolynomialTPP,Trapezoid,10,0.001,9789,1,206448576.0,16254348.0
PoissonPolynomialTPP,Simpsons,10,0.001,8738,1,212935952.0,16477069.0
PoissonPolynomialTPP,Gaussian_Q,10,0.001,11722,1,479357600.0,35852384.0
PoissonPolynomialFirstOrderTPP,Euler,10,0.001,6050,1,7194.853515625,3670.90771484375
PoissonPolynomialFirstOrderTPP,Implicit Euler,10,0.001,2006,1,-2415.4853515625,40309812.0
PoissonPolynomialFirstOrderTPP,Trapezoid,10,0.001,7386,1,26136.939453125,5681.2373046875
PoissonPolynomialFirstOrderTPP,Simpsons,10,0.001,6489,1,41321.34375,8092.63525390625
PoissonPolynomialFirstOrderTPP,Gaussian_Q,10,0.001,8751,1,42574.0078125,8062.576171875
PoissonPolynomialTPP,Euler,10,0.001,8292,1,630084928.0,52362080.0
PoissonPolynomialTPP,Implicit Euler,10,0.001,2481,1,-2029.123291015625,527838937088.0
PoissonPolynomialTPP,Trapezoid,10,0.001,9802,1,560539456.0,44135340.0
PoissonPolynomialTPP,Simpsons,10,0.001,8774,1,186898432.0,14458869.0
PoissonPolynomialTPP,Gaussian_Q,10,0.001,11746,1,449898336.0,33648468.0
