real,predict
13166340.0,13166490.0
13166400.0,13166524.0
13166415.0,13166703.0
13166430.0,13166726.0
13166460.0,13166758.0
13166550.0,13166920.0
13166595.0,13166922.0
13166625.0,13166957.0
13166685.0,13167079.0
13166715.0,13167327.0
13166730.0,13167823.0
13166745.0,13167984.0
13166760.0,13168074.0
13166880.0,13168076.0
13167030.0,13168675.0
13167315.0,13168693.0
13167345.0,13169042.0
13167360.0,13169054.0
13167420.0,13169173.0
13167465.0,13169200.0
13167495.0,13169259.0
13167615.0,13169276.0
13167675.0,13169383.0
13167735.0,13169542.0
13167765.0,13169671.0
13167870.0,13169691.0
13167930.0,13169781.0
13167975.0,13169967.0
13168020.0,13170263.0
13168035.0,13170315.0
13168125.0,13170315.0
13168215.0,13170424.0
13168245.0,13171170.0
13168275.0,13171250.0
13168305.0,13171251.0
13168350.0,13171325.0
13168410.0,13171406.0
13168425.0,13171713.0
13168515.0,13171976.0
13168530.0,13172111.0
13168545.0,13172535.0
13168605.0,13172546.0
13168710.0,13172842.0
13168770.0,13173063.0
13168800.0,13173133.0
13168890.0,13173260.0
13168920.0,13173393.0
13168980.0,13173407.0
13168995.0,13173674.0
13169055.0,13173705.0
13169070.0,13173751.0
13169100.0,13173763.0
13169130.0,13173843.0
13169295.0,13174111.0
13169460.0,13174287.0
13169520.0,13174486.0
13169640.0,13174683.0
13169685.0,13174770.0
13169745.0,13175094.0
13169775.0,13175151.0
13169850.0,13175187.0
13169865.0,13175491.0
13169895.0,13175844.0
13169955.0,13176279.0
13170000.0,13176281.0
13170030.0,13176402.0
13170045.0,13176592.0
13170060.0,13176877.0
13170120.0,13177159.0
13170135.0,13177169.0
13170150.0,13177462.0
13170165.0,13177498.0
13170180.0,13177597.0
13170210.0,13177752.0
13170285.0,13177810.0
13170315.0,13177880.0
13170375.0,13178058.0
13170495.0,13178127.0
13170510.0,13178148.0
13170555.0,13178248.0
13170630.0,13178259.0
13170645.0,13178315.0
13170675.0,13178350.0
13170750.0,13178408.0
13170780.0,13178430.0
13170795.0,13178769.0
13170825.0,13179051.0
13170840.0,13179309.0
13170885.0,13179710.0
13170915.0,13179733.0
13170945.0,13179879.0
13171020.0,13179970.0
13171080.0,13180226.0
13171200.0,13180321.0
13171245.0,13180532.0
13171305.0,13180691.0
13171350.0,13180961.0
13171380.0,13181017.0
13171500.0,13181182.0
13171530.0,13181184.0
13171575.0,13181218.0
13171605.0,13181346.0
13171620.0,13181857.0
13171650.0,13182036.0
13171680.0,13182196.0
13171725.0,13182202.0
13171785.0,13182237.0
13171800.0,13182278.0
13171830.0,13182301.0
13171845.0,13182414.0
13171890.0,13182474.0
13171935.0,13182619.0
13172010.0,13182843.0
13172085.0,13183091.0
13172100.0,13184102.0
13172130.0,13184122.0
13172145.0,13184154.0
13172175.0,13184459.0
13172190.0,13184998.0
13172220.0,13185333.0
13172250.0,13185398.0
13172295.0,13185475.0
13172310.0,13185752.0
13172325.0,13185862.0
13172340.0,13185871.0
13172370.0,13185916.0
13172415.0,13185930.0
13172445.0,13186022.0
13172505.0,13186175.0
13172520.0,13186549.0
13172550.0,13186617.0
13172565.0,13186972.0
13172595.0,13187152.0
13172670.0,13187166.0
13172685.0,13187166.0
13172715.0,13187194.0
13172760.0,13187483.0
13172790.0,13187520.0
13172820.0,13187594.0
13172880.0,13187667.0
13172895.0,13187710.0
13172910.0,13187829.0
13172940.0,13187931.0
13172970.0,13187944.0
13173000.0,13188051.0
13173030.0,13188053.0
13173045.0,13188218.0
13173060.0,13188342.0
13173075.0,13188459.0
13173120.0,13188461.0
13173135.0,13188606.0
13173150.0,13189020.0
13173225.0,13189240.0
13173240.0,13189310.0
13173300.0,13189367.0
13173315.0,13189389.0
13173345.0,13189501.0
13173375.0,13189654.0
13173390.0,13189734.0
13173405.0,13189809.0
13173435.0,13190458.0
13173450.0,13190467.0
13173465.0,13190509.0
13173480.0,13190846.0
13173510.0,13191038.0
13173555.0,13191444.0
13173600.0,13191454.0
13173660.0,13191456.0
13173690.0,13191497.0
13173720.0,13191766.0
13173750.0,13191975.0
13173765.0,13192053.0
13173780.0,13192112.0
13173795.0,13192249.0
13173825.0,13193189.0
13173840.0,13193915.0
13173855.0,13193929.0
13173885.0,13194085.0
13173915.0,13194140.0
13173960.0,13194289.0
13174020.0,13194311.0
13174035.0,13194442.0
13174050.0,13194494.0
13174065.0,13194649.0
13174110.0,13195251.0
13174140.0,13195304.0
13174200.0,13195369.0
13174215.0,13195424.0
13174230.0,13195550.0
13174305.0,13195626.0
13174320.0,13195786.0
13174335.0,13195797.0
13174350.0,13195900.0
13174365.0,13196106.0
13174410.0,13196121.0
13174425.0,13196129.0
13174455.0,13196186.0
13174470.0,13196725.0
13174500.0,13196803.0
13174515.0,13196899.0
13174560.0,13197002.0
13174575.0,13197052.0
13174590.0,13197354.0
13174605.0,13197461.0
13174635.0,13197586.0
13174650.0,13197740.0
13174665.0,13198089.0
13174680.0,13198112.0
13174695.0,13198470.0
13174740.0,13198582.0
13174785.0,13199063.0
13174815.0,13199301.0
13174830.0,13199516.0
13174845.0,13199664.0
13174860.0,13199800.0
13174875.0,13199845.0
13174890.0,13199867.0
13174905.0,13199969.0
13174920.0,13200007.0
13174950.0,13200262.0
13174965.0,13200651.0
13175010.0,13200944.0
13175055.0,13201306.0
13175070.0,13201393.0
13175085.0,13201396.0
13175100.0,13201414.0
13175145.0,13201490.0
13175160.0,13201776.0
13175190.0,13202120.0
13175235.0,13202355.0
13175250.0,13202812.0
13175265.0,13202870.0
13175280.0,13203172.0
13175310.0,13203310.0
13175370.0,13203345.0
13175385.0,13203382.0
13175415.0,13203478.0
13175430.0,13203540.0
13175445.0,13203572.0
13175460.0,13203632.0
13175475.0,13203824.0
13175505.0,13203839.0
13175520.0,13203856.0
13175535.0,13203859.0
13175565.0,13204052.0
13175595.0,13204174.0
13175610.0,13204228.0
13175625.0,13204229.0
13175640.0,13204391.0
13175670.0,13204525.0
13175700.0,13204625.0
13175745.0,13204707.0
13175760.0,13205232.0
13175775.0,13205260.0
13175790.0,13205356.0
13175805.0,13205431.0
13175820.0,13205556.0
13175835.0,13205945.0
13175865.0,13205951.0
13175895.0,13206021.0
13175910.0,13206067.0
13175925.0,13206152.0
13175940.0,13206215.0
13175970.0,13206221.0
13176000.0,13206801.0
13176015.0,13207375.0
13176030.0,13207732.0
13176060.0,13207880.0
13176090.0,13207983.0
13176120.0,13208038.0
13176135.0,13208263.0
13176165.0,13208420.0
13176180.0,13208650.0
13176195.0,13208709.0
13176210.0,13209051.0
13176255.0,13209069.0
13176270.0,13209149.0
13176285.0,13209301.0
13176330.0,13209614.0
13176345.0,13209615.0
13176360.0,13209862.0
13176405.0,13209947.0
13176435.0,13209986.0
13176450.0,13210234.0
13176465.0,13210598.0
13176495.0,13210624.0
13176525.0,13210707.0
13176540.0,13210792.0
13176570.0,13211072.0
13176585.0,13211122.0
13176600.0,13211346.0
13176615.0,13211357.0
13176630.0,13211461.0
