real,predict
13166340.0,13166597.0
13166400.0,13166602.0
13166415.0,13167245.0
13166430.0,13167246.0
13166460.0,13167248.0
13166550.0,13168128.0
13166595.0,13168132.0
13166625.0,13168145.0
13166685.0,13168147.0
13166715.0,13168154.0
13166730.0,13168164.0
13166745.0,13168799.0
13166760.0,13168802.0
13166880.0,13169017.0
13167030.0,13169019.0
13167315.0,13169026.0
13167345.0,13169028.0
13167360.0,13169034.0
13167420.0,13169045.0
13167465.0,13170385.0
13167495.0,13171570.0
13167615.0,13171570.0
13167675.0,13171571.0
13167735.0,13171586.0
13167765.0,13172105.0
13167870.0,13172106.0
13167930.0,13172108.0
13167975.0,13172120.0
13168020.0,13172122.0
13168035.0,13172138.0
13168125.0,13172141.0
13168215.0,13172144.0
13168245.0,13172144.0
13168275.0,13172144.0
13168305.0,13172147.0
13168350.0,13172148.0
13168410.0,13172159.0
13168425.0,13172174.0
13168515.0,13172383.0
13168530.0,13172395.0
13168545.0,13172397.0
13168605.0,13172398.0
13168710.0,13172401.0
13168770.0,13172402.0
13168800.0,13172408.0
13168890.0,13172412.0
13168920.0,13172415.0
13168980.0,13172421.0
13168995.0,13172422.0
13169055.0,13172425.0
13169070.0,13172518.0
13169100.0,13173457.0
13169130.0,13173634.0
13169295.0,13173719.0
13169460.0,13173952.0
13169520.0,13174010.0
13169640.0,13174857.0
13169685.0,13175339.0
13169745.0,13176006.0
13169775.0,13176007.0
13169850.0,13176007.0
13169865.0,13176011.0
13169895.0,13176013.0
13169955.0,13176016.0
13170000.0,13176019.0
13170030.0,13176024.0
13170045.0,13176029.0
13170060.0,13176054.0
13170120.0,13176225.0
13170135.0,13176231.0
13170150.0,13176356.0
13170165.0,13176357.0
13170180.0,13176358.0
13170210.0,13176364.0
13170285.0,13176368.0
13170315.0,13176374.0
13170375.0,13176376.0
13170495.0,13176378.0
13170510.0,13177345.0
13170555.0,13177346.0
13170630.0,13177357.0
13170645.0,13177372.0
13170675.0,13177644.0
13170750.0,13177652.0
13170780.0,13177660.0
13170795.0,13178532.0
13170825.0,13178790.0
13170840.0,13178852.0
13170885.0,13178859.0
13170915.0,13178895.0
13170945.0,13179158.0
13171020.0,13179337.0
13171080.0,13179944.0
13171200.0,13179959.0
13171245.0,13179962.0
13171305.0,13180102.0
13171350.0,13180125.0
13171380.0,13181368.0
13171500.0,13181372.0
13171530.0,13182636.0
13171575.0,13182643.0
13171605.0,13183670.0
13171620.0,13184411.0
13171650.0,13184945.0
13171680.0,13184950.0
13171725.0,13184953.0
13171785.0,13184967.0
13171800.0,13185061.0
13171830.0,13185441.0
13171845.0,13187195.0
13171890.0,13187726.0
13171935.0,13188597.0
13172010.0,13190179.0
13172085.0,13190427.0
13172100.0,13190799.0
13172130.0,13192568.0
13172145.0,13192577.0
13172175.0,13192584.0
13172190.0,13192596.0
13172220.0,13192607.0
13172250.0,13192816.0
13172295.0,13192822.0
13172310.0,13192828.0
13172325.0,13192834.0
13172340.0,13193173.0
13172370.0,13193191.0
13172415.0,13193430.0
13172445.0,13193632.0
13172505.0,13194907.0
13172520.0,13195955.0
13172550.0,13195963.0
13172565.0,13196072.0
13172595.0,13196090.0
13172670.0,13196791.0
13172685.0,13196793.0
13172715.0,13197834.0
13172760.0,13197837.0
13172790.0,13198421.0
13172820.0,13198422.0
13172880.0,13198429.0
13172895.0,13198432.0
13172910.0,13198851.0
13172940.0,13199001.0
13172970.0,13199008.0
13173000.0,13199011.0
13173030.0,13199321.0
13173045.0,13199598.0
13173060.0,13199897.0
13173075.0,13200340.0
13173120.0,13200346.0
13173135.0,13200351.0
13173150.0,13201219.0
13173225.0,13201221.0
13173240.0,13201221.0
13173300.0,13201232.0
13173315.0,13201456.0
13173345.0,13201974.0
13173375.0,13202793.0
13173390.0,13202793.0
13173405.0,13202828.0
13173435.0,13202829.0
13173450.0,13202851.0
13173465.0,13203526.0
13173480.0,13203618.0
13173510.0,13203622.0
13173555.0,13203623.0
13173600.0,13203623.0
13173660.0,13203626.0
13173690.0,13203632.0
13173720.0,13203647.0
13173750.0,13203691.0
13173765.0,13203700.0
13173780.0,13203710.0
13173795.0,13203720.0
13173825.0,13204003.0
13173840.0,13204110.0
13173855.0,13205214.0
13173885.0,13205227.0
13173915.0,13205238.0
13173960.0,13205246.0
13174020.0,13205248.0
13174035.0,13205267.0
13174050.0,13205343.0
13174065.0,13205357.0
13174110.0,13205357.0
13174140.0,13205363.0
13174200.0,13205363.0
13174215.0,13205364.0
13174230.0,13205364.0
13174305.0,13205364.0
13174320.0,13205366.0
13174335.0,13205368.0
13174350.0,13205373.0
13174365.0,13205384.0
13174410.0,13205387.0
13174425.0,13205400.0
13174455.0,13205400.0
13174470.0,13205405.0
13174500.0,13206074.0
13174515.0,13206080.0
13174560.0,13206104.0
13174575.0,13206427.0
13174590.0,13206863.0
13174605.0,13207244.0
13174635.0,13209106.0
13174650.0,13209114.0
13174665.0,13209115.0
13174680.0,13209115.0
13174695.0,13209122.0
13174740.0,13209125.0
13174785.0,13209144.0
13174815.0,13209602.0
13174830.0,13210618.0
13174845.0,13210836.0
13174860.0,13210849.0
13174875.0,13211271.0
13174890.0,13211846.0
13174905.0,13212081.0
13174920.0,13212428.0
13174950.0,13212439.0
13174965.0,13212440.0
13175010.0,13212456.0
13175055.0,13212885.0
13175070.0,13212909.0
13175085.0,13212983.0
13175100.0,13213273.0
13175145.0,13214028.0
13175160.0,13214040.0
13175190.0,13214050.0
13175235.0,13214052.0
13175250.0,13214055.0
13175265.0,13214058.0
13175280.0,13214062.0
13175310.0,13214063.0
13175370.0,13214063.0
13175385.0,13215304.0
13175415.0,13216014.0
13175430.0,13216018.0
13175445.0,13216056.0
13175460.0,13216388.0
13175475.0,13216678.0
13175505.0,13216728.0
13175520.0,13216988.0
13175535.0,13216991.0
13175565.0,13217350.0
13175595.0,13217353.0
13175610.0,13217354.0
13175625.0,13217355.0
13175640.0,13217374.0
13175670.0,13218489.0
13175700.0,13218600.0
13175745.0,13218807.0
13175760.0,13219028.0
13175775.0,13219250.0
13175790.0,13219259.0
13175805.0,13219489.0
13175820.0,13219491.0
13175835.0,13219702.0
13175865.0,13220508.0
13175895.0,13220514.0
13175910.0,13220581.0
13175925.0,13221840.0
13175940.0,13222378.0
13175970.0,13223354.0
13176000.0,13223357.0
13176015.0,13225067.0
13176030.0,13225069.0
13176060.0,13225070.0
13176090.0,13225075.0
13176120.0,13225089.0
13176135.0,13225094.0
13176165.0,13225100.0
13176180.0,13225338.0
13176195.0,13225360.0
13176210.0,13225787.0
13176255.0,13225793.0
13176270.0,13225799.0
13176285.0,13225910.0
13176330.0,13225910.0
13176345.0,13225918.0
13176360.0,13226300.0
13176405.0,13226319.0
13176435.0,13226572.0
