real,predict
31907.0,31913.0
31912.0,31913.0
31914.0,31914.0
31919.0,31915.0
31919.0,31965.0
31919.0,31967.0
31920.0,32040.0
31985.0,32040.0
31985.0,32041.0
31985.0,32045.0
31988.0,32116.0
31988.0,32118.0
32023.0,32131.0
32023.0,32134.0
32024.0,32134.0
32025.0,32134.0
32048.0,32134.0
32048.0,32210.0
32144.0,32210.0
32144.0,32221.0
32146.0,32221.0
32147.0,32222.0
32252.0,32222.0
32252.0,32223.0
32294.0,32224.0
32294.0,32225.0
32297.0,32310.0
32297.0,32315.0
32417.0,32315.0
32417.0,32315.0
32417.0,32315.0
32451.0,32316.0
32451.0,32316.0
32451.0,32318.0
32451.0,32318.0
32451.0,32321.0
32451.0,32321.0
32451.0,32374.0
32451.0,32374.0
32451.0,32379.0
32476.0,32394.0
32476.0,32460.0
32498.0,32473.0
32498.0,32557.0
32502.0,32558.0
32502.0,32559.0
32506.0,32559.0
32506.0,32559.0
32506.0,32560.0
32506.0,32560.0
32506.0,32560.0
32552.0,32560.0
32552.0,32561.0
32560.0,32561.0
32560.0,32561.0
32639.0,32561.0
32639.0,32561.0
32639.0,32561.0
32639.0,32562.0
32663.0,32563.0
32663.0,32563.0
32663.0,32564.0
32668.0,32575.0
32668.0,32593.0
32695.0,32596.0
32737.0,32606.0
32737.0,32606.0
32756.0,32627.0
32760.0,32660.0
32760.0,32662.0
32761.0,32662.0
32761.0,32662.0
32768.0,32664.0
32768.0,32687.0
32769.0,32687.0
32769.0,32687.0
32769.0,32689.0
32769.0,32689.0
32769.0,32690.0
32769.0,32690.0
32769.0,32703.0
32769.0,32718.0
32769.0,32726.0
32769.0,32730.0
32769.0,32760.0
32772.0,32761.0
32776.0,32762.0
32795.0,32764.0
32795.0,32765.0
32848.0,32767.0
32848.0,32768.0
32852.0,32768.0
32852.0,32820.0
32861.0,32833.0
32861.0,32833.0
32862.0,32833.0
32863.0,32834.0
32863.0,32834.0
32927.0,32834.0
32927.0,32834.0
32927.0,32835.0
32927.0,32836.0
33017.0,32838.0
33019.0,32838.0
33027.0,32850.0
33027.0,32973.0
33027.0,32994.0
33027.0,32996.0
33027.0,32997.0
33027.0,32999.0
33027.0,33000.0
33031.0,33004.0
33038.0,33004.0
33121.0,33004.0
33121.0,33005.0
33135.0,33005.0
33186.0,33006.0
33186.0,33006.0
33186.0,33006.0
33186.0,33006.0
33196.0,33007.0
33196.0,33060.0
33201.0,33121.0
33201.0,33130.0
33208.0,33131.0
33276.0,33145.0
33284.0,33162.0
33284.0,33163.0
33284.0,33166.0
33284.0,33166.0
33290.0,33167.0
33295.0,33167.0
33333.0,33168.0
33333.0,33168.0
33338.0,33168.0
33338.0,33168.0
33338.0,33168.0
33338.0,33168.0
33339.0,33169.0
33339.0,33169.0
33339.0,33169.0
33339.0,33170.0
33348.0,33185.0
33348.0,33185.0
33348.0,33235.0
33360.0,33276.0
33383.0,33327.0
33383.0,33390.0
33392.0,33391.0
33392.0,33392.0
33393.0,33392.0
33393.0,33437.0
33424.0,33437.0
33424.0,33437.0
33456.0,33438.0
33460.0,33438.0
33462.0,33438.0
33493.0,33439.0
33493.0,33439.0
33570.0,33439.0
33590.0,33441.0
33590.0,33442.0
33594.0,33442.0
33594.0,33446.0
33594.0,33446.0
33620.0,33446.0
33629.0,33447.0
33655.0,33447.0
33655.0,33447.0
33679.0,33447.0
33679.0,33447.0
33696.0,33447.0
33696.0,33448.0
33704.0,33448.0
33704.0,33448.0
33714.0,33448.0
33770.0,33449.0
33828.0,33449.0
33828.0,33449.0
33830.0,33449.0
33830.0,33449.0
33877.0,33450.0
33877.0,33450.0
33950.0,33451.0
33950.0,33451.0
33959.0,33451.0
33959.0,33453.0
33959.0,33455.0
33959.0,33455.0
33961.0,33458.0
33963.0,33472.0
33963.0,33473.0
33965.0,33475.0
33966.0,33488.0
33967.0,33489.0
33967.0,33490.0
33967.0,33490.0
33968.0,33490.0
33968.0,33490.0
33984.0,33490.0
33984.0,33490.0
34010.0,33491.0
34011.0,33491.0
34011.0,33491.0
34011.0,33491.0
34014.0,33492.0
34019.0,33493.0
34019.0,33493.0
34060.0,33493.0
34060.0,33494.0
34061.0,33494.0
34085.0,33494.0
34085.0,33494.0
34162.0,33495.0
34162.0,33496.0
34162.0,33496.0
34162.0,33496.0
34162.0,33498.0
34162.0,33676.0
34169.0,33757.0
34200.0,33758.0
34203.0,33805.0
34207.0,33805.0
34222.0,33991.0
34222.0,34004.0
34225.0,34005.0
34229.0,34005.0
34244.0,34006.0
34244.0,34006.0
34245.0,34006.0
34245.0,34007.0
