real,predict
13166340.0,13166757.0
13166400.0,13167152.0
13166415.0,13167253.0
13166430.0,13167294.0
13166460.0,13167346.0
13166550.0,13167845.0
13166595.0,13167880.0
13166625.0,13168180.0
13166685.0,13168229.0
13166715.0,13168309.0
13166730.0,13168732.0
13166745.0,13169027.0
13166760.0,13169183.0
13166880.0,13169271.0
13167030.0,13169274.0
13167315.0,13169525.0
13167345.0,13169704.0
13167360.0,13170041.0
13167420.0,13170480.0
13167465.0,13170564.0
13167495.0,13170668.0
13167615.0,13170769.0
13167675.0,13170888.0
13167735.0,13171069.0
13167765.0,13171103.0
13167870.0,13171134.0
13167930.0,13171378.0
13167975.0,13171542.0
13168020.0,13171573.0
13168035.0,13171603.0
13168125.0,13171661.0
13168215.0,13171685.0
13168245.0,13171816.0
13168275.0,13171833.0
13168305.0,13171878.0
13168350.0,13172160.0
13168410.0,13172390.0
13168425.0,13172530.0
13168515.0,13172715.0
13168530.0,13172718.0
13168545.0,13172739.0
13168605.0,13172753.0
13168710.0,13172888.0
13168770.0,13173097.0
13168800.0,13173253.0
13168890.0,13173284.0
13168920.0,13173353.0
13168980.0,13173438.0
13168995.0,13173720.0
13169055.0,13173786.0
13169070.0,13174043.0
13169100.0,13174051.0
13169130.0,13174107.0
13169295.0,13174238.0
13169460.0,13174321.0
13169520.0,13174575.0
13169640.0,13174922.0
13169685.0,13174932.0
13169745.0,13175165.0
13169775.0,13175521.0
13169850.0,13175716.0
13169865.0,13175957.0
13169895.0,13175993.0
13169955.0,13176042.0
13170000.0,13176108.0
13170030.0,13176224.0
13170045.0,13176353.0
13170060.0,13176436.0
13170120.0,13176671.0
13170135.0,13177116.0
13170150.0,13177129.0
13170165.0,13177441.0
13170180.0,13177787.0
13170210.0,13177811.0
13170285.0,13178042.0
13170315.0,13178083.0
13170375.0,13178111.0
13170495.0,13178245.0
13170510.0,13178274.0
13170555.0,13178374.0
13170630.0,13178924.0
13170645.0,13179032.0
13170675.0,13179095.0
13170750.0,13179137.0
13170780.0,13179150.0
13170795.0,13179250.0
13170825.0,13179580.0
13170840.0,13179589.0
13170885.0,13179726.0
13170915.0,13179896.0
13170945.0,13179967.0
13171020.0,13180281.0
13171080.0,13180515.0
13171200.0,13180977.0
13171245.0,13181059.0
13171305.0,13181190.0
