real,predict
31907.0,31908.0
31912.0,31908.0
31914.0,31911.0
31919.0,31973.0
31919.0,31980.0
31919.0,31981.0
31920.0,31981.0
31985.0,31981.0
31985.0,31985.0
31985.0,31985.0
31988.0,31985.0
31988.0,31985.0
32023.0,31985.0
32023.0,31985.0
32024.0,32028.0
32025.0,32039.0
32048.0,32068.0
32048.0,32095.0
32144.0,32101.0
32144.0,32103.0
32146.0,32150.0
32147.0,32158.0
32252.0,32185.0
32252.0,32188.0
32294.0,32204.0
32294.0,32204.0
32297.0,32204.0
32297.0,32206.0
32417.0,32206.0
32417.0,32207.0
32417.0,32207.0
32451.0,32212.0
32451.0,32225.0
32451.0,32239.0
32451.0,32247.0
32451.0,32247.0
32451.0,32267.0
32451.0,32280.0
32451.0,32305.0
32451.0,32307.0
32476.0,32312.0
32476.0,32312.0
32498.0,32312.0
32498.0,32317.0
32502.0,32323.0
32502.0,32367.0
32506.0,32367.0
32506.0,32367.0
32506.0,32367.0
32506.0,32367.0
32506.0,32383.0
32552.0,32385.0
32552.0,32385.0
32560.0,32399.0
32560.0,32415.0
32639.0,32415.0
32639.0,32425.0
32639.0,32426.0
32639.0,32429.0
32663.0,32429.0
32663.0,32429.0
32663.0,32432.0
32668.0,32432.0
32668.0,32433.0
32695.0,32434.0
32737.0,32461.0
32737.0,32466.0
32756.0,32475.0
32760.0,32496.0
32760.0,32500.0
32761.0,32500.0
32761.0,32500.0
32768.0,32500.0
32768.0,32500.0
32769.0,32513.0
32769.0,32513.0
32769.0,32537.0
32769.0,32537.0
32769.0,32537.0
32769.0,32537.0
32769.0,32537.0
32769.0,32542.0
32769.0,32542.0
32769.0,32542.0
32769.0,32542.0
32772.0,32548.0
32776.0,32592.0
32795.0,32592.0
32795.0,32615.0
32848.0,32615.0
32848.0,32615.0
32852.0,32615.0
32852.0,32616.0
32861.0,32616.0
32861.0,32637.0
32862.0,32650.0
32863.0,32652.0
32863.0,32652.0
32927.0,32681.0
32927.0,32681.0
32927.0,32695.0
32927.0,32733.0
33017.0,32733.0
33019.0,32743.0
33027.0,32748.0
33027.0,32755.0
33027.0,32812.0
33027.0,32817.0
33027.0,32817.0
33027.0,32868.0
33027.0,32871.0
33031.0,32871.0
33038.0,32871.0
33121.0,32871.0
33121.0,32871.0
33135.0,32871.0
33186.0,32875.0
33186.0,32876.0
33186.0,32890.0
33186.0,32902.0
33196.0,32926.0
33196.0,32926.0
33201.0,32926.0
33201.0,32926.0
33208.0,32979.0
33276.0,33019.0
33284.0,33028.0
33284.0,33028.0
33284.0,33028.0
33284.0,33028.0
33290.0,33028.0
33295.0,33028.0
33333.0,33028.0
33333.0,33028.0
33338.0,33028.0
33338.0,33028.0
33338.0,33028.0
33338.0,33028.0
33339.0,33028.0
33339.0,33029.0
33339.0,33031.0
33339.0,33041.0
33348.0,33041.0
33348.0,33053.0
33348.0,33057.0
33360.0,33059.0
33383.0,33062.0
33383.0,33062.0
33392.0,33087.0
33392.0,33087.0
33393.0,33087.0
33393.0,33109.0
33424.0,33159.0
33424.0,33159.0
33456.0,33160.0
33460.0,33173.0
33462.0,33181.0
33493.0,33219.0
33493.0,33226.0
33570.0,33226.0
33590.0,33226.0
33590.0,33226.0
33594.0,33226.0
33594.0,33226.0
33594.0,33226.0
33620.0,33226.0
33629.0,33289.0
33655.0,33289.0
33655.0,33324.0
33679.0,33336.0
33679.0,33370.0
33696.0,33377.0
33696.0,33386.0
