real,predict
31907.0,31916.0
31912.0,31947.0
31914.0,31947.0
31919.0,31956.0
31919.0,31956.0
31919.0,31956.0
31920.0,31956.0
31985.0,31956.0
31985.0,31967.0
31985.0,31977.0
31988.0,32092.0
31988.0,32105.0
32023.0,32108.0
32023.0,32116.0
32024.0,32123.0
32025.0,32123.0
32048.0,32131.0
32048.0,32137.0
32144.0,32137.0
32144.0,32138.0
32146.0,32138.0
32147.0,32150.0
32252.0,32168.0
32252.0,32168.0
32294.0,32168.0
32294.0,32173.0
32297.0,32194.0
32297.0,32200.0
32417.0,32200.0
32417.0,32200.0
32417.0,32200.0
32451.0,32200.0
32451.0,32200.0
32451.0,32200.0
32451.0,32202.0
32451.0,32227.0
32451.0,32234.0
32451.0,32234.0
32451.0,32234.0
32451.0,32241.0
32476.0,32241.0
32476.0,32241.0
32498.0,32241.0
32498.0,32241.0
32502.0,32244.0
32502.0,32245.0
32506.0,32270.0
32506.0,32302.0
32506.0,32307.0
32506.0,32307.0
32506.0,32324.0
32552.0,32337.0
32552.0,32337.0
32560.0,32358.0
32560.0,32358.0
32639.0,32363.0
32639.0,32363.0
32639.0,32375.0
32639.0,32381.0
32663.0,32398.0
32663.0,32400.0
32663.0,32424.0
32668.0,32424.0
32668.0,32424.0
32695.0,32452.0
32737.0,32456.0
32737.0,32474.0
32756.0,32475.0
32760.0,32478.0
32760.0,32504.0
32761.0,32533.0
32761.0,32539.0
32768.0,32542.0
32768.0,32562.0
32769.0,32562.0
32769.0,32562.0
32769.0,32562.0
32769.0,32562.0
32769.0,32562.0
32769.0,32570.0
32769.0,32570.0
32769.0,32570.0
32769.0,32570.0
32769.0,32590.0
32769.0,32612.0
32772.0,32612.0
32776.0,32629.0
32795.0,32676.0
32795.0,32682.0
32848.0,32689.0
32848.0,32689.0
32852.0,32693.0
32852.0,32693.0
32861.0,32693.0
32861.0,32693.0
32862.0,32699.0
32863.0,32708.0
32863.0,32708.0
32927.0,32709.0
32927.0,32724.0
32927.0,32736.0
32927.0,32736.0
33017.0,32736.0
33019.0,32736.0
33027.0,32767.0
33027.0,32771.0
33027.0,32771.0
33027.0,32771.0
33027.0,32776.0
33027.0,32807.0
33027.0,32807.0
33031.0,32811.0
33038.0,32815.0
33121.0,32859.0
33121.0,32890.0
33135.0,32900.0
33186.0,32903.0
33186.0,32903.0
33186.0,32910.0
33186.0,32934.0
33196.0,32934.0
33196.0,32936.0
33201.0,32939.0
33201.0,32955.0
33208.0,32955.0
33276.0,32999.0
33284.0,33003.0
33284.0,33018.0
33284.0,33022.0
33284.0,33073.0
33290.0,33073.0
33295.0,33073.0
33333.0,33073.0
33333.0,33073.0
33338.0,33073.0
33338.0,33074.0
33338.0,33078.0
33338.0,33078.0
33339.0,33082.0
33339.0,33089.0
33339.0,33093.0
33339.0,33097.0
33348.0,33097.0
33348.0,33097.0
33348.0,33103.0
33360.0,33103.0
33383.0,33110.0
33383.0,33117.0
33392.0,33117.0
33392.0,33133.0
33393.0,33133.0
33393.0,33133.0
33424.0,33133.0
33424.0,33133.0
33456.0,33147.0
33460.0,33167.0
33462.0,33167.0
33493.0,33167.0
33493.0,33173.0
33570.0,33176.0
33590.0,33187.0
33590.0,33187.0
33594.0,33187.0
33594.0,33188.0
33594.0,33188.0
33620.0,33195.0
33629.0,33207.0
33655.0,33207.0
33655.0,33207.0
33679.0,33232.0
33679.0,33232.0
33696.0,33238.0
33696.0,33238.0
33704.0,33242.0
33704.0,33277.0
33714.0,33298.0
33770.0,33321.0
33828.0,33351.0
33828.0,33351.0
33830.0,33361.0
33830.0,33368.0
33877.0,33368.0
33877.0,33368.0
33950.0,33368.0
33950.0,33394.0
33959.0,33394.0
33959.0,33394.0
33959.0,33394.0
33959.0,33412.0
33961.0,33416.0
33963.0,33419.0
33963.0,33439.0
33965.0,33476.0
33966.0,33488.0
33967.0,33603.0
33967.0,33618.0
33967.0,33632.0
33968.0,33632.0
33968.0,33632.0
33984.0,33632.0
33984.0,33632.0
