real,predict
30046.0,30051.0
30048.0,30055.0
30074.0,30056.0
30080.0,30061.0
30086.0,30065.0
30098.0,30089.0
30113.0,30102.0
30133.0,30105.0
30163.0,30110.0
30176.0,30110.0
30203.0,30110.0
30224.0,30111.0
30230.0,30120.0
30237.0,30129.0
30240.0,30139.0
30256.0,30139.0
30258.0,30143.0
30270.0,30144.0
30322.0,30146.0
30342.0,30151.0
30350.0,30184.0
30351.0,30185.0
30381.0,30186.0
30406.0,30188.0
30429.0,30188.0
30440.0,30202.0
30450.0,30203.0
30457.0,30204.0
30498.0,30214.0
30510.0,30219.0
30541.0,30220.0
30548.0,30225.0
30583.0,30225.0
30586.0,30225.0
30611.0,30227.0
30626.0,30229.0
30636.0,30236.0
30658.0,30239.0
30673.0,30243.0
30692.0,30248.0
30696.0,30264.0
30718.0,30270.0
30742.0,30280.0
30746.0,30287.0
30758.0,30289.0
30764.0,30291.0
30766.0,30292.0
30774.0,30294.0
30781.0,30297.0
30782.0,30299.0
30785.0,30308.0
30788.0,30312.0
30792.0,30313.0
30794.0,30316.0
30869.0,30318.0
30924.0,30318.0
30951.0,30324.0
30969.0,30326.0
30987.0,30326.0
31004.0,30332.0
31032.0,30337.0
31066.0,30342.0
31109.0,30348.0
31118.0,30358.0
31128.0,30358.0
31139.0,30358.0
31160.0,30372.0
31161.0,30374.0
31167.0,30378.0
31190.0,30380.0
31206.0,30384.0
31209.0,30385.0
31226.0,30390.0
31235.0,30395.0
31241.0,30396.0
31244.0,30403.0
31265.0,30410.0
31270.0,30415.0
31358.0,30418.0
31380.0,30420.0
31406.0,30421.0
31413.0,30423.0
31429.0,30424.0
31445.0,30427.0
31462.0,30433.0
31514.0,30433.0
31523.0,30435.0
31526.0,30436.0
31555.0,30449.0
31569.0,30449.0
31571.0,30450.0
31609.0,30450.0
31662.0,30453.0
31691.0,30460.0
31739.0,30465.0
31761.0,30468.0
31856.0,30472.0
31865.0,30472.0
31873.0,30474.0
31897.0,30477.0
31898.0,30485.0
31910.0,30491.0
31940.0,30492.0
31953.0,30493.0
31966.0,30500.0
32001.0,30505.0
32072.0,30522.0
32074.0,30535.0
32076.0,30554.0
32081.0,30555.0
32121.0,30562.0
32183.0,30563.0
32201.0,30567.0
32240.0,30570.0
32251.0,30571.0
32268.0,30574.0
32279.0,30577.0
32297.0,30579.0
32300.0,30579.0
32312.0,30581.0
32346.0,30583.0
32385.0,30587.0
32399.0,30587.0
32429.0,30594.0
32448.0,30599.0
32502.0,30600.0
32503.0,30601.0
32510.0,30603.0
32511.0,30604.0
32551.0,30605.0
32574.0,30615.0
32595.0,30623.0
32602.0,30624.0
32612.0,30624.0
32624.0,30629.0
32690.0,30630.0
32702.0,30634.0
32716.0,30647.0
32732.0,30658.0
32742.0,30662.0
32747.0,30663.0
32757.0,30667.0
32773.0,30667.0
32827.0,30668.0
32833.0,30678.0
32834.0,30680.0
32885.0,30684.0
32952.0,30691.0
32976.0,30692.0
