real,predict
30046.0,30046.0
30048.0,30047.0
30074.0,30049.0
30080.0,30056.0
30086.0,30061.0
30098.0,30062.0
30113.0,30073.0
30133.0,30074.0
30163.0,30091.0
30176.0,30098.0
30203.0,30100.0
30224.0,30102.0
30230.0,30105.0
30237.0,30115.0
30240.0,30117.0
30256.0,30122.0
30258.0,30124.0
30270.0,30137.0
30322.0,30142.0
30342.0,30143.0
30350.0,30145.0
30351.0,30152.0
30381.0,30154.0
30406.0,30156.0
30429.0,30164.0
30440.0,30175.0
30450.0,30180.0
30457.0,30180.0
30498.0,30181.0
30510.0,30181.0
30541.0,30184.0
30548.0,30185.0
30583.0,30190.0
30586.0,30193.0
30611.0,30197.0
30626.0,30200.0
30636.0,30206.0
30658.0,30209.0
30673.0,30210.0
30692.0,30216.0
30696.0,30220.0
30718.0,30225.0
30742.0,30229.0
30746.0,30231.0
30758.0,30235.0
30764.0,30238.0
30766.0,30244.0
30774.0,30249.0
30781.0,30250.0
30782.0,30253.0
30785.0,30257.0
30788.0,30258.0
30792.0,30258.0
30794.0,30258.0
30869.0,30258.0
30924.0,30259.0
30951.0,30260.0
30969.0,30264.0
30987.0,30264.0
31004.0,30267.0
31032.0,30273.0
31066.0,30281.0
31109.0,30292.0
31118.0,30296.0
31128.0,30296.0
31139.0,30298.0
31160.0,30307.0
31161.0,30310.0
31167.0,30317.0
31190.0,30325.0
31206.0,30327.0
31209.0,30327.0
31226.0,30342.0
31235.0,30343.0
31241.0,30349.0
31244.0,30350.0
31265.0,30352.0
31270.0,30352.0
31358.0,30354.0
31380.0,30357.0
31406.0,30358.0
31413.0,30361.0
31429.0,30363.0
31445.0,30363.0
31462.0,30365.0
31514.0,30368.0
31523.0,30369.0
31526.0,30388.0
31555.0,30390.0
31569.0,30401.0
31571.0,30401.0
31609.0,30406.0
31662.0,30410.0
31691.0,30411.0
31739.0,30416.0
31761.0,30420.0
31856.0,30423.0
31865.0,30425.0
31873.0,30428.0
31897.0,30434.0
31898.0,30445.0
31910.0,30453.0
31940.0,30454.0
31953.0,30456.0
31966.0,30457.0
32001.0,30467.0
32072.0,30470.0
32074.0,30474.0
32076.0,30475.0
32081.0,30487.0
32121.0,30493.0
32183.0,30498.0
32201.0,30501.0
32240.0,30507.0
32251.0,30510.0
32268.0,30512.0
32279.0,30515.0
32297.0,30519.0
32300.0,30529.0
32312.0,30529.0
32346.0,30545.0
32385.0,30547.0
32399.0,30555.0
32429.0,30561.0
32448.0,30573.0
32502.0,30584.0
32503.0,30588.0
32510.0,30593.0
32511.0,30601.0
32551.0,30605.0
32574.0,30611.0
32595.0,30613.0
32602.0,30615.0
32612.0,30639.0
32624.0,30653.0
32690.0,30660.0
32702.0,30668.0
32716.0,30669.0
32732.0,30670.0
32742.0,30670.0
32747.0,30673.0
32757.0,30676.0
32773.0,30677.0
32827.0,30684.0
32833.0,30693.0
32834.0,30698.0
32885.0,30709.0
32952.0,30715.0
32976.0,30722.0
32977.0,30724.0
33013.0,30729.0
33102.0,30730.0
33171.0,30736.0
33210.0,30741.0
33211.0,30741.0
33253.0,30742.0
33260.0,30744.0
33265.0,30750.0
33278.0,30752.0
33288.0,30760.0
33430.0,30765.0
33457.0,30770.0
33540.0,30771.0
33609.0,30773.0
33639.0,30774.0
33656.0,30776.0
33665.0,30778.0
33741.0,30779.0
33760.0,30789.0
33763.0,30789.0
33879.0,30828.0
33899.0,30828.0
33902.0,30829.0
33905.0,30834.0
33953.0,30851.0
33958.0,30851.0
33994.0,30858.0
34039.0,30862.0
34059.0,30866.0
34080.0,30867.0
34149.0,30867.0
34189.0,30872.0
34297.0,30873.0
34315.0,30879.0
34365.0,30883.0
34395.0,30884.0
34401.0,30885.0
34404.0,30896.0
34447.0,30908.0
34455.0,30911.0
34475.0,30912.0
34530.0,30922.0
34563.0,30922.0
34571.0,30923.0
34584.0,30939.0
34595.0,30942.0
34598.0,30943.0
34599.0,30957.0
34696.0,30958.0
34727.0,30961.0
34757.0,30963.0
34758.0,30963.0
34778.0,30964.0
34779.0,30966.0
34795.0,30977.0
34832.0,30978.0
34918.0,30992.0
34928.0,31000.0
34965.0,31003.0
35071.0,31008.0
35210.0,31011.0
35211.0,31011.0
35313.0,31012.0
35358.0,31014.0
35368.0,31015.0
35369.0,31020.0
35406.0,31020.0
35455.0,31023.0
35619.0,31025.0
35636.0,31030.0
35637.0,31031.0
35638.0,31034.0
35653.0,31035.0
35718.0,31036.0
35766.0,31046.0
35846.0,31050.0
35867.0,31053.0
35946.0,31066.0
35975.0,31076.0
36015.0,31076.0
36170.0,31078.0
36190.0,31081.0
36258.0,31081.0
36283.0,31086.0
36355.0,31091.0
36383.0,31092.0
36423.0,31093.0
