real,predict
30046.0,30048.0
30048.0,30058.0
30074.0,30061.0
30080.0,30063.0
30086.0,30064.0
30098.0,30066.0
30113.0,30068.0
30133.0,30073.0
30163.0,30078.0
30176.0,30082.0
30203.0,30090.0
30224.0,30092.0
30230.0,30115.0
30237.0,30130.0
30240.0,30131.0
30256.0,30132.0
30258.0,30146.0
30270.0,30156.0
30322.0,30159.0
30342.0,30162.0
30350.0,30168.0
30351.0,30170.0
30381.0,30171.0
30406.0,30178.0
30429.0,30181.0
30440.0,30187.0
30450.0,30196.0
30457.0,30201.0
30498.0,30215.0
30510.0,30219.0
30541.0,30226.0
30548.0,30227.0
30583.0,30234.0
30586.0,30237.0
30611.0,30245.0
30626.0,30245.0
30636.0,30253.0
30658.0,30254.0
30673.0,30259.0
30692.0,30260.0
30696.0,30268.0
30718.0,30274.0
30742.0,30275.0
30746.0,30276.0
30758.0,30282.0
30764.0,30295.0
30766.0,30304.0
30774.0,30312.0
30781.0,30318.0
30782.0,30322.0
30785.0,30325.0
30788.0,30325.0
30792.0,30335.0
30794.0,30337.0
30869.0,30341.0
30924.0,30346.0
30951.0,30347.0
30969.0,30364.0
30987.0,30368.0
31004.0,30373.0
31032.0,30373.0
31066.0,30373.0
31109.0,30380.0
31118.0,30387.0
31128.0,30391.0
31139.0,30394.0
31160.0,30396.0
31161.0,30419.0
31167.0,30422.0
31190.0,30425.0
31206.0,30431.0
31209.0,30434.0
31226.0,30441.0
31235.0,30443.0
31241.0,30449.0
31244.0,30471.0
31265.0,30481.0
31270.0,30482.0
31358.0,30484.0
31380.0,30488.0
31406.0,30490.0
31413.0,30491.0
31429.0,30496.0
31445.0,30499.0
31462.0,30501.0
31514.0,30504.0
31523.0,30522.0
31526.0,30530.0
31555.0,30533.0
31569.0,30537.0
31571.0,30544.0
31609.0,30544.0
31662.0,30567.0
31691.0,30569.0
31739.0,30586.0
31761.0,30587.0
31856.0,30587.0
31865.0,30594.0
31873.0,30596.0
31897.0,30598.0
31898.0,30607.0
31910.0,30607.0
31940.0,30613.0
31953.0,30636.0
31966.0,30636.0
32001.0,30637.0
32072.0,30641.0
32074.0,30646.0
32076.0,30647.0
32081.0,30651.0
32121.0,30656.0
32183.0,30665.0
32201.0,30666.0
32240.0,30669.0
32251.0,30671.0
32268.0,30681.0
32279.0,30684.0
32297.0,30686.0
32300.0,30687.0
32312.0,30694.0
32346.0,30696.0
32385.0,30697.0
32399.0,30697.0
32429.0,30703.0
32448.0,30706.0
32502.0,30709.0
32503.0,30710.0
32510.0,30717.0
32511.0,30722.0
32551.0,30737.0
32574.0,30738.0
32595.0,30746.0
32602.0,30753.0
32612.0,30761.0
32624.0,30764.0
32690.0,30773.0
32702.0,30774.0
32716.0,30774.0
32732.0,30776.0
32742.0,30777.0
32747.0,30777.0
32757.0,30786.0
32773.0,30791.0
32827.0,30791.0
32833.0,30793.0
32834.0,30808.0
32885.0,30809.0
32952.0,30812.0
32976.0,30816.0
32977.0,30816.0
33013.0,30816.0
33102.0,30818.0
33171.0,30818.0
33210.0,30819.0
33211.0,30824.0
33253.0,30827.0
33260.0,30833.0
33265.0,30837.0
33278.0,30839.0
33288.0,30846.0
33430.0,30855.0
33457.0,30859.0
33540.0,30859.0
33609.0,30869.0
33639.0,30881.0
33656.0,30885.0
33665.0,30890.0
33741.0,30894.0
33760.0,30895.0
33763.0,30901.0
33879.0,30907.0
33899.0,30917.0
33902.0,30920.0
33905.0,30925.0
33953.0,30928.0
33958.0,30934.0
33994.0,30941.0
34039.0,30945.0
34059.0,30946.0
34080.0,30947.0
34149.0,30949.0
34189.0,30950.0
34297.0,30951.0
34315.0,30959.0
34365.0,30973.0
34395.0,30976.0
34401.0,30976.0
34404.0,30985.0
34447.0,30986.0
34455.0,30992.0
34475.0,30997.0
34530.0,30997.0
34563.0,30999.0
34571.0,31000.0
34584.0,31001.0
34595.0,31009.0
34598.0,31016.0
34599.0,31018.0
34696.0,31028.0
34727.0,31041.0
34757.0,31049.0
34758.0,31051.0
34778.0,31051.0
34779.0,31052.0
34795.0,31054.0
34832.0,31061.0
34918.0,31076.0
34928.0,31076.0
34965.0,31077.0
35071.0,31082.0
35210.0,31089.0
35211.0,31093.0
