model_name,rule,no_step,epochs,learning_rate,training_time,nr_of_reinit,loss_on_train,loss_on_test
FCNPointProcess,Euler,10,2,0.001,3,1,19019752.0,inf
FCNPointProcess,Implicit Euler,10,2,0.001,1,15,-80.39667510986328,
FCNPointProcess,Trapezoid,10,2,0.001,2,3,40387280.0,40563296.0
FCNPointProcess,Simpsons,10,2,0.001,2,10,39525200.0,
FCNPointProcess,Gaussian_Q,10,2,0.001,3,1,,
PoissonTPP,Euler,10,2,0.001,1,1,5631955.0,5630704.0
PoissonTPP,Implicit Euler,10,2,0.001,1,1,-60.34524917602539,44760800.0
PoissonTPP,Trapezoid,10,2,0.001,1,1,8961152.0,8959216.0
PoissonTPP,Simpsons,10,2,0.001,1,1,10508351.0,10506095.0
PoissonTPP,Gaussian_Q,10,2,0.001,1,1,58172668.0,58160480.0
PoissonPolynomialTPP,Euler,10,2,0.001,3,1,6.928275408985522e+24,1.2505641607178574e+22
PoissonPolynomialTPP,Implicit Euler,10,2,0.001,1,1,-6830.951171875,1.3574092471274553e+22
PoissonPolynomialTPP,Trapezoid,10,2,0.001,2,1,9.808359796606272e+24,1.7609538413780259e+22
PoissonPolynomialTPP,Simpsons,10,2,0.001,2,1,5.0727573425181755e+23,9.101426521632093e+20
PoissonPolynomialTPP,Gaussian_Q,10,2,0.001,2,1,2.742091789195108e+24,4.913289270722623e+21
PoissonPolynomialFirstOrderTPP,Euler,10,2,0.001,1,1,7719384986419200.0,278693649842176.0
PoissonPolynomialFirstOrderTPP,Implicit Euler,10,2,0.001,1,1,-3239.989990234375,198942918705152.0
PoissonPolynomialFirstOrderTPP,Trapezoid,10,2,0.001,3,1,5063868984328192.0,182330605961216.0
PoissonPolynomialFirstOrderTPP,Simpsons,10,2,0.001,1,1,2186682874986496.0,78707515457536.0
PoissonPolynomialFirstOrderTPP,Gaussian_Q,10,2,0.001,1,1,2215189512454144.0,79679679627264.0
PoissonPolynomialTPP,Euler,10,2,0.001,1,1,4.870893325082879e+24,8.79203865664346e+21
PoissonPolynomialTPP,Implicit Euler,10,2,0.001,1,1,-6459.6787109375,1.5480382032522447e+21
PoissonPolynomialTPP,Trapezoid,10,2,0.001,2,1,1.8912104986373417e+24,3.3954025262381353e+21
PoissonPolynomialTPP,Simpsons,10,2,0.001,3,1,3.1272502217941564e+23,5.610841965381854e+20
PoissonPolynomialTPP,Gaussian_Q,10,2,0.001,2,1,5.768349906238189e+24,1.0335745382216593e+22
