model_name,rule,no_step,learning_rate,training_time,loss_on_train,loss_on_test
FCNPointProcess,Euler,10,0.01,1914,2243.946533203125,1759.146728515625
FCNPointProcess,Implicit Euler,10,0.01,596,-3339.8134765625,9587411755466752.0
FCNPointProcess,Trapezoid,10,0.01,2033,2243.9462890625,1759.6517333984375
FCNPointProcess,Simpsons,10,0.01,1954,2243.9462890625,1759.0108642578125
FCNPointProcess,Gaussian_Q,10,0.01,2337,2243.9462890625,1758.145751953125
GRUPointProcess,Euler,10,0.01,6240,2243.946533203125,1760.1396484375
GRUPointProcess,Implicit Euler,10,0.01,1973,-6738.90869140625,4.0989083265828044e+24
GRUPointProcess,Trapezoid,10,0.01,6547,2243.9462890625,1759.0087890625
GRUPointProcess,Simpsons,10,0.01,6230,2243.947265625,1759.010498046875
GRUPointProcess,Gaussian_Q,10,0.01,7319,2240.63037109375,4322.6865234375
LSTMPointProcess,Euler,10,0.01,6118,2243.946533203125,1759.0108642578125
LSTMPointProcess,Implicit Euler,10,0.01,1908,-3546.691162109375,3.201001329996595e+16
LSTMPointProcess,Trapezoid,10,0.01,6232,2243.946533203125,1759.0108642578125
LSTMPointProcess,Simpsons,10,0.01,6092,2243.9462890625,1759.0108642578125
LSTMPointProcess,Gaussian_Q,10,0.01,7176,-3420.813720703125,767525956616192.0
RNNPointProcess,Euler,10,0.01,4350,2243.9462890625,1761.435546875
RNNPointProcess,Implicit Euler,10,0.01,1370,-7012.888671875,2.028486988693434e+25
RNNPointProcess,Trapezoid,10,0.01,4536,2243.946533203125,1759.061279296875
RNNPointProcess,Simpsons,10,0.01,4348,2243.9462890625,1759.022705078125
RNNPointProcess,Gaussian_Q,10,0.01,5238,2239.915771484375,2405.89501953125
