model_name,rule,no_step,learning_rate,training_time,loss_on_train,loss_on_test
GRUPointProcess,Euler,10,0.001,22008,200170496.0,52326456.0
GRUPointProcess,Implicit Euler,10,0.001,3774,-1767.283203125,328799712.0
GRUPointProcess,Trapezoid,10,0.001,23378,348494144.0,91055928.0
GRUPointProcess,Simpsons,10,0.001,23624,75420088.0,19708666.0
GRUPointProcess,Gaussian_Q,10,0.001,29315,18385680.0,5376831.0
LSTMPointProcess,Euler,10,0.001,26571,212457776.0,55564064.0
LSTMPointProcess,Implicit Euler,10,0.001,3860,-620.8285522460938,151036880.0
LSTMPointProcess,Trapezoid,10,0.001,22651,253170416.0,66211672.0
LSTMPointProcess,Simpsons,10,0.001,25367,110986288.0,29026392.0
LSTMPointProcess,Gaussian_Q,10,0.001,31474,48656388.0,12725403.0
RNNPointProcess,Euler,10,0.001,16646,49998460.0,13245953.0
RNNPointProcess,Implicit Euler,10,0.001,2990,-536.57080078125,79403448.0
RNNPointProcess,Trapezoid,10,0.001,15720,50532336.0,13438788.0
RNNPointProcess,Simpsons,10,0.001,13906,11738676.0,3074094.5
RNNPointProcess,Gaussian_Q,10,0.001,16345,2841087.0,1415566.0
