model_name,rule,no_step,learning_rate,training_time,nr_of_reinit,loss_on_train,loss_on_test
GRUPointProcess,Euler,10,0.01,15160,1,2711.54296875,2459.63623046875
GRUPointProcess,Implicit Euler,10,0.01,4815,1,-18271.80859375,2.135466205810734e+22
GRUPointProcess,Trapezoid,10,0.01,15628,1,2732.480224609375,2440.0166015625
GRUPointProcess,Simpsons,10,0.01,15354,1,2742.888427734375,2451.703125
GRUPointProcess,Gaussian_Q,10,0.01,17822,1,2759.018310546875,5303.6591796875
LSTMPointProcess,Euler,10,0.01,14920,1,2768.80517578125,2467.737060546875
LSTMPointProcess,Implicit Euler,10,0.01,4563,1,-8719.1494140625,16276838678528.0
LSTMPointProcess,Trapezoid,10,0.01,15298,1,2713.365966796875,2448.94921875
LSTMPointProcess,Simpsons,10,0.01,15021,1,2734.061767578125,2429.779541015625
LSTMPointProcess,Gaussian_Q,10,0.01,17360,1,2768.80517578125,2467.737060546875
RNNPointProcess,Euler,10,0.01,10539,1,2710.083740234375,2468.36572265625
RNNPointProcess,Implicit Euler,10,0.01,3498,1,-18315.046875,2.3428803873692075e+22
RNNPointProcess,Trapezoid,10,0.01,10945,1,2732.230712890625,2439.05859375
RNNPointProcess,Simpsons,10,0.01,10626,1,2742.65380859375,2432.470947265625
RNNPointProcess,Gaussian_Q,10,0.01,12378,1,2750.531982421875,26894493696.0
