model_name,rule,no_step,learning_rate,training_time,nr_of_reinit,loss_on_train,loss_on_test
FCNPointProcess,Euler,10,0.001,4789,18,12896.8232421875,14115.240234375
FCNPointProcess,Implicit Euler,10,0.001,1996,39,-3694.087890625,13324237.0
FCNPointProcess,Trapezoid,10,0.001,5232,15,1.6676598962515765e+20,1.6518514811206436e+32
FCNPointProcess,Simpsons,10,0.001,4788,16,14234.6396484375,14849.412109375
FCNPointProcess,Gaussian_Q,10,0.001,5864,12,10962.9755859375,11374.771484375
PoissonTPP,Euler,10,0.001,1471,1,2768.808349609375,2467.9912109375
PoissonTPP,Implicit Euler,10,0.001,825,1,-490.66796875,227371.15625
PoissonTPP,Trapezoid,10,0.001,1883,1,2768.89599609375,2469.586181640625
PoissonTPP,Simpsons,10,0.001,1591,1,2768.830078125,2466.835693359375
PoissonTPP,Gaussian_Q,10,0.001,2066,1,2769.953125,2475.15087890625
PoissonPolynomialTPP,Euler,10,0.001,2868,1,7114885120.0,8788648960.0
PoissonPolynomialTPP,Implicit Euler,10,0.001,1296,1,-425.6077880859375,233353055830016.0
PoissonPolynomialTPP,Trapezoid,10,0.001,3287,1,5487135232.0,6416462336.0
PoissonPolynomialTPP,Simpsons,10,0.001,3025,1,5950960128.0,6841848320.0
PoissonPolynomialTPP,Gaussian_Q,10,0.001,3903,1,38103590895616.0,42382783414272.0
PoissonPolynomialFirstOrderTPP,Euler,10,0.001,2130,1,785381.3125,921310.0
PoissonPolynomialFirstOrderTPP,Implicit Euler,10,0.001,1027,1,-545.0620727539062,1178023680.0
PoissonPolynomialFirstOrderTPP,Trapezoid,10,0.001,2507,1,434276064.0,482088992.0
PoissonPolynomialFirstOrderTPP,Simpsons,10,0.001,2255,1,278129.34375,303424.1875
PoissonPolynomialFirstOrderTPP,Gaussian_Q,10,0.001,2940,1,1001993600.0,1057462336.0
PoissonPolynomialTPP,Euler,10,0.001,2881,1,683612032.0,844823744.0
PoissonPolynomialTPP,Implicit Euler,10,0.001,1310,1,-442.2257995605469,158629651021824.0
PoissonPolynomialTPP,Trapezoid,10,0.001,3301,1,21058152448.0,24624662528.0
PoissonPolynomialTPP,Simpsons,10,0.001,3029,1,23418048512.0,26923913216.0
PoissonPolynomialTPP,Gaussian_Q,10,0.001,3907,1,23094974464.0,25679962112.0
